NAMESPACE       NAME                                                         CPU(cores)   MEMORY(bytes)   
kepler          kepler-5k5h5                                                 61m          31Mi            
kube-system     cern-magnum-ceph-csi-cephfs-nodeplugin-tl8g6                 1m           34Mi            
kube-system     cern-magnum-ceph-csi-cephfs-nodeplugin-wjmdz                 2m           31Mi            
kube-system     cern-magnum-ceph-csi-cephfs-nodeplugin-z5lms                 1m           21Mi            
kube-system     cern-magnum-ceph-csi-cephfs-provisioner-7d5cbf4d-8m57h       2m           81Mi            
kube-system     cern-magnum-coredns-autoscaler-5f4cd89bfb-hlr6t              1m           18Mi            
kube-system     cern-magnum-coredns-f98cf4d8f-6rcxd                          1m           13Mi            
kube-system     cern-magnum-coredns-f98cf4d8f-bt24v                          1m           14Mi            
kube-system     cern-magnum-cvmfs-csi-controllerplugin-5cfdfbf967-nnvsk      2m           20Mi            
kube-system     cern-magnum-cvmfs-csi-nodeplugin-5tbjk                       1m           17Mi            
kube-system     cern-magnum-cvmfs-csi-nodeplugin-dgh7w                       1m           15Mi            
kube-system     cern-magnum-cvmfs-csi-nodeplugin-jsm4k                       1m           21Mi            
kube-system     cern-magnum-eosxd-csi-controllerplugin-69598d98bf-njd87      1m           23Mi            
kube-system     cern-magnum-eosxd-csi-nodeplugin-lplhp                       1m           23Mi            
kube-system     cern-magnum-eosxd-csi-nodeplugin-w9st8                       3m           23Mi            
kube-system     cern-magnum-falco-g5zfm                                      23m          167Mi           
kube-system     cern-magnum-falco-vptwj                                      19m          103Mi           
kube-system     cern-magnum-falco-zbjrb                                      50m          342Mi           
kube-system     cern-magnum-kubernetes-dashboard-dbb9bcdcb-wkbz9             1m           27Mi            
kube-system     cern-magnum-metrics-server-8494c47fc4-jc94w                  2m           26Mi            
kube-system     cern-magnum-node-feature-discovery-gc-b5474c7f-crwjd         1m           13Mi            
kube-system     cern-magnum-node-feature-discovery-master-5d76b8f7b7-jxdfh   1m           19Mi            
kube-system     cern-magnum-node-feature-discovery-worker-5l2g7              0m           25Mi            
kube-system     cern-magnum-node-feature-discovery-worker-hl9l7              0m           17Mi            
kube-system     cern-magnum-node-problem-detector-47lr6                      1m           13Mi            
kube-system     cern-magnum-node-problem-detector-n5lmb                      1m           17Mi            
kube-system     cern-magnum-node-problem-detector-pxtnb                      1m           14Mi            
kube-system     cern-magnum-openstack-manila-csi-controllerplugin-0          2m           45Mi            
kube-system     cern-magnum-openstack-manila-csi-nodeplugin-dbj7t            2m           21Mi            
kube-system     cern-magnum-openstack-manila-csi-nodeplugin-q9tfj            1m           26Mi            
kube-system     cern-magnum-snapshot-controller-8bcb455d9-dbpcd              1m           21Mi            
kube-system     cilium-4ccl7                                                 13m          223Mi           
kube-system     cilium-envoy-kwwkj                                           2m           15Mi            
kube-system     cilium-envoy-vzrgm                                           18m          33Mi            
kube-system     cilium-envoy-zmbcb                                           1m           17Mi            
kube-system     cilium-fqr2k                                                 32m          1295Mi          
kube-system     cilium-operator-86f6bf86cd-bw2pz                             2m           85Mi            
kube-system     cilium-tlh8q                                                 15m          214Mi           
kube-system     hubble-relay-569798c66d-sf6t6                                1m           18Mi            
kube-system     hubble-ui-86b57b5ff4-zxccm                                   1m           20Mi            
kube-system     openstack-cloud-controller-manager-9zpnr                     2m           39Mi            
magnum-tiller   tiller-deploy-bb9b8499c-7t6r4                                1m           7Mi             
monitoring      alertmanager-monitoring-kube-prometheus-alertmanager-0       1m           37Mi            
monitoring      monitoring-grafana-68bc6447f8-sj5nf                          4m           185Mi           
monitoring      monitoring-kube-prometheus-operator-8458f8fc84-7lmfg         2m           39Mi            
monitoring      monitoring-kube-state-metrics-6fc7c5567d-cvdmz               3m           42Mi            
monitoring      monitoring-prometheus-node-exporter-phpxg                    2m           15Mi            
monitoring      monitoring-prometheus-node-exporter-rxjld                    10m          16Mi            
monitoring      monitoring-prometheus-node-exporter-sxb6r                    1m           16Mi            
monitoring      prometheus-monitoring-kube-prometheus-prometheus-0           48m          581Mi           
